stationid,stationname,lineids,linenames,lat,lng
1,十三号街,{1},{地铁1号线},41.7631555703079,123.224537039084
2,南市场,{1},{地铁1号线},41.7868984071927,123.413783984038
3,怀远门,{1},{地铁1号线},41.7946697952979,123.441276228329
4,张士,{1},{地铁1号线},41.7693647814364,123.287901763418
5,开发大道,{1},{地铁1号线},41.7787222381649,123.29941047796
6,启工街,{1},{地铁1号线},41.8014187973441,123.336924813954
7,四号街,{1},{地铁1号线},41.7636943072637,123.271348894836
8,太原街,{1},{地铁1号线},41.7872521207765,123.40038344822
9,中央大街,{1},{地铁1号线},41.7631757589525,123.236604898838
10,中街,{1},{地铁1号线},41.7990379271186,123.455599836429
11,于洪广场,{1},{地铁1号线},41.7919945956253,123.299873360912
12,云峰北街,{1},{地铁1号线},41.7939812835953,123.374427193188
13,七号街,{1},{地铁1号线},41.7630612335967,123.25377850592
14,黎明广场,{1},{地铁1号线},41.805961822309,123.498347410751
15,保工街,{1},{地铁1号线},41.7980186754238,123.34969774541
16,重工街,{1},{地铁1号线},41.8025823708618,123.325613141978
17,东中街,{1},{地铁1号线},41.8005445637872,123.464751601361
18,迎宾路,{1},{地铁1号线},41.7992511105099,123.303512852534
19,沈阳站,{1},{地铁1号线},41.791495562187,123.390339074269
20,青年大街,"{1,2}","{地铁1号线,地铁2号线}",41.7898692098692,123.426788021618
21,铁西广场,"{1,3}","{地铁1号线,地铁9号线}",41.7920483211787,123.364878846102
22,滂江街,"{1,4}","{地铁1号线,地铁10号线}",41.8059621248484,123.482648634699
23,沈阳北站,{2},{地铁2号线},41.8148235596346,123.429862716003
24,三台子,{2},{地铁2号线},41.8660076724779,123.411072240443
25,世纪大厦,{2},{地铁2号线},41.7173773064884,123.455895242025
26,五里河,{2},{地铁2号线},41.7503806522004,123.435005485845
27,人杰湖公园,{2},{地铁2号线},41.9341307190261,123.391830343708
28,全运路,{2},{地铁2号线},41.7051800574602,123.476600205271
29,北陵公园,{2},{地铁2号线},41.8369217646301,123.418026900209
30,医学院,{2},{地铁2号线},41.883831153114,123.409486004387
31,岐山路,{2},{地铁2号线},41.8204606826028,123.423206273168
32,工业展览馆,{2},{地铁2号线},41.770675919967,123.429005792417
33,市图书馆,{2},{地铁2号线},41.7577588051213,123.42996653541
34,市府广场,{2},{地铁2号线},41.8023559954162,123.427909720594
35,师范大学,{2},{地铁2号线},41.9052316058122,123.402570589849
36,新乐遗址,{2},{地铁2号线},41.8452442869666,123.41286278223
37,白塔河路,{2},{地铁2号线},41.707012156504,123.465393027326
38,航空航天大学,{2},{地铁2号线},41.9150718561223,123.397212959047
39,营盘街,{2},{地铁2号线},41.729158574585,123.450400330944
40,蒲河路,{2},{地铁2号线},41.944325308397,123.402370776126
41,蒲田路,{2},{地铁2号线},41.9541322767168,123.399486688995
42,辽宁大学,{2},{地铁2号线},41.9270192826854,123.387942523513
43,金融中心,{2},{地铁2号线},41.8091368268463,123.4320026628
44,陵西,{2},{地铁2号线},41.8532445620128,123.412038995026
45,青年公园,{2},{地铁2号线},41.7823169479201,123.429961866785
46,奥体中心,"{2,3}","{地铁2号线,地铁9号线}",41.7403704108254,123.44702789807
47,中医药大学,"{2,4}","{地铁2号线,地铁10号线}",41.8307265756745,123.42245688789
48,曹仲,{3},{地铁9号线},41.7297004048567,123.355358207517
49,朗日街,{3},{地铁9号线},41.7391663022277,123.479211357499
50,榆树台,{3},{地铁9号线},41.7273414474912,123.415435040112
51,吉力湖街,{3},{地铁9号线},41.7584854835684,123.338638945676
52,沈辽路,{3},{地铁9号线},41.779189554895,123.355187783024
53,建筑大学,{3},{地铁9号线},41.7450937654758,123.510621212637
54,金阳大街,{3},{地铁9号线},41.7292765019594,123.424040374604
55,浑河站,{3},{地铁9号线},41.7242256653985,123.36643038001
56,彩霞街,{3},{地铁9号线},41.7317167075641,123.435179805559
57,北二路,{3},{地铁9号线},41.802449119264,123.372757842224
58,滑翔,{3},{地铁9号线},41.7700153794903,123.352907390527
59,重型文化广场,{3},{地铁9号线},41.8105778419534,123.377507548006
60,天成街,{3},{地铁9号线},41.7412723169489,123.461855114304
61,皇姑屯站,{3},{地铁9号线},41.8187101587592,123.38053161983
62,胜利南街,{3},{地铁9号线},41.7224403815368,123.392030393478
63,长白南,{3},{地铁9号线},41.7250769741353,123.404013366677
64,大通湖街,{3},{地铁9号线},41.7489423048494,123.340922854781
65,怒江公园,{3},{地铁9号线},41.8398060884475,123.382808017318
66,兴华公园,{3},{地铁9号线},41.7849101683831,123.359527995218
67,长青南街,"{3,4}","{地铁9号线,地铁10号线}",41.7426589133403,123.495596108303
68,淮河街沈医二院,"{3,4}","{地铁9号线,地铁10号线}",41.8279161785486,123.383893545213
69,东北大马路,{4},{地铁10号线},41.8184783692281,123.475601541847
70,陵东街,{4},{地铁10号线},41.8307311305321,123.438352750302
71,长青桥,{4},{地铁10号线},41.758281065952,123.490252081343
72,百鸟公园,{4},{地铁10号线},41.8287470156754,123.395214892136
73,塔湾街,{4},{地铁10号线},41.827214233705,123.368104212168
74,长江街,{4},{地铁10号线},41.8292942332965,123.407393498616
75,理工大学,{4},{地铁10号线},41.7307282121163,123.499525439977
76,元江街,{4},{地铁10号线},41.8489258012849,123.350300761523
77,万莲,{4},{地铁10号线},41.7881071902446,123.477455566954
78,泉园,{4},{地铁10号线},41.7752265863552,123.472480125153
79,北塔,{4},{地铁10号线},41.8313120158376,123.450403910012
80,丁香湖,{4},{地铁10号线},41.8615401783633,123.342112514375
81,向工街,{4},{地铁10号线},41.8334696089159,123.357796218779
82,江东街,{4},{地铁10号线},41.766954232412,123.482199102957
83,张沙布,{4},{地铁10号线},41.7190810539566,123.507126655293
84,长安路,{4},{地铁10号线},41.7966603912006,123.479844413815
85,合作街,{4},{地铁10号线},41.8269057337275,123.468567510981
