nid,name,full_names
1,LINE 1,"{""LINE 1 (AIRPORT EAST-LUOHU)"",""LINE 1 (LUOHU-AIRPORT EAST)""}"
2,LINE 2,"{""LINE 2 (LIANTANG-CHIWAN)"",""LINE 2 (CHIWAN-LIANTANG)""}"
3,LINE 3,"{""LINE 3 (SHUANGLONG-FUTIAN BONDED AREA)"",""LINE 3 (FUTIAN BONDED AREA-SHUANGLONG)""}"
4,LINE 4,"{""LINE 4 (NIUHU-FUTIAN CHECKPOINT)"",""LINE 4 (FUTIAN CHECKPOINT-NIUHU)""}"
5,LINE 5,"{""LINE 5 (CHIWAN-HUANGBEILING)"",""LINE 5 (HUANGBEILING-CHIWAN)""}"
6,LINE 6,"{""LINE 6 (SONGGANG-SCIENCE MUSEUM)"",""LINE 6 (SCIENCE MUSEUM-SONGGANG)""}"
7,LINE 7,"{""LINE 7 (TAI'AN-XILI LAKE)"",""LINE 7 (XILI LAKE-TAI'AN)""}"
8,LINE 8,"{""LINE 8 (YANTIAN ROAD-LIANTANG)"",""LINE 8 (LIANTANG-YANTIAN ROAD)""}"
9,LINE 9,"{""LINE 9 (QIANWAN-WENJIN)"",""LINE 9 (WENJIN-QIANWAN)""}"
10,LINE 10,"{""LINE 10 (SHUANGYONG STREET-FUTIAN CHECKPOINT)"",""LINE 10 (FUTIAN CHECKPOINT-SHUANGYONG STREET)""}"
11,LINE 11,"{""LINE 11 (BITOU-FUTIAN)"",""LINE 11 (FUTIAN-BITOU)""}"
